,created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place,clean_text
10,Fri Jun 18 17:56:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",0.5083333333333333,0.7833333333333333,en,685.0,221.0,Jmilio54,15,43,,WeCanDoThisCOVID19,[CDCDirector],,pleased welcome #wecandothis bus atlanta today remember easy way find #covid vaccine near search text zip code call ---
11,Fri Jun 18 17:56:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,-0.1625,0.2375,en,52.0,28.0,LilyWad75051099,474,361,,CubanCOVID19vaccines,[MediccGail],,biocubafarma say phase clinical trial result #cuban #covid #vaccines due day soberana without booster abdala tested k volunteer havana eastern cuba
12,Fri Jun 18 17:56:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.0,0.0,en,,,SammyEyong,14,80,False,,[],,nan
13,Fri Jun 18 17:57:06 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain heart and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.3727272727272727,0.4674242424242424,en,4.0,2.0,trekkerteach12,7778,5990,,Covid19,[LongCovidNYC],,really something see new research coming damage brain heart #covid watch government reopen everything let covid #deltavariant spread wildly throughout country vaccine great
14,Fri Jun 18 17:57:12 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,0.0,0.0,en,22.0,6.0,emet_news_press,9765,7035,False,,[YakiLopez],Global,nan
15,Fri Jun 18 17:57:16 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,0.0,0.0,en,,,edjimimi,371,605,,,[],"Austin, TX",nan
16,Fri Jun 18 17:57:18 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","It is really something to see new research coming out about damage to the brain heart and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.3727272727272727,0.4674242424242424,en,5.0,3.0,SheriD17536431,470,1240,,Covid19,[LongCovidNYC],Nashville,really something see new research coming damage brain heart #covid watch government reopen everything let covid #deltavariant spread wildly throughout country vaccine great
17,Fri Jun 18 17:57:19 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",0.1958333333333333,0.2875,en,67.0,77.0,DuncanSteele8,48,74,,,[MoetiTshidi],,africa midst full blown third wave sobering trajectory surging case rouse everyone urgent action weve seen india elsewhere quickly #covid rebound overwhelm health system
18,Fri Jun 18 17:57:20 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","@DrTedros Less than 2% of Africa’s population has been vaccinated.

Vaccines donated next year will be far too late for those who are dying today or being infected today or at risk today-@DrTedros #COVID19 #VaccinEquity",-0.0916666666666666,0.4166666666666666,en,55.0,32.0,ChrisRamsden4,678,570,,,[WHO DrTedros],Kent, less % africa population vaccinated vaccine donated next year far late dying today infected today risk today -drtedros #covid #vaccinequity
19,Fri Jun 18 17:57:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","So glad to join training day for the DC #COVID19 Community Corps

They will be going door to door and attending events to encourage residents to #TakeTheShotDC 

Together we’ll crush the virus! https://t.co/Q3MPcnZFJL https://t.co/NibVFurhtd",0.625,1.0,en,6.0,3.0,stevenlwalker,5769,1848,,COVID19,[falcicchio],Bending stuff towards justice,glad join training day dc #covid community corp going door door attending event encourage resident #taketheshotdc together well crush virus
20,Fri Jun 18 17:57:24 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Dr Moeti is head of WHO in Africa and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa.,0.1333333333333333,0.4555555555555555,en,203.0,95.0,yuccaldo,1309,2618,,,[globalhlthtwit],"#mRNA/@pfizer 1.shot, 23.04",dr moeti head africa one best public health expert leader know desperate request vaccine africa plead germany uk lift patent restriction urgently transfer technology enable production africa
21,Fri Jun 18 17:57:30 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[MB] ☀️ WINNIPEG ☀️ 
Available mRNA vaccines!
📍 Scurfield Pharmacy (100 201 Scurfield Blvd)
📞 204-306-4459
💻 https://t.co/cDMOKVMUTW
Call to confirm availability/book appointment! 
#protectmb
https://t.co/7OYAVc9tK1 #VHCDose2 #COVID19MB #vhcMB",0.625,0.4,en,5.0,2.0,LeahMochula,84,592,,,[VaxHuntersCan],,[mb] winnipeg available mrna vaccine scurfield pharmacy scurfield blvd -- call confirm availabilitybook appointment #protectmb #vhcdose #covidmb #vhcmb
22,Fri Jun 18 17:57:31 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@robinmonotti2 @RiseOfTheProles BTW🤔🤔Covid19 deaths are super inflated by a rigged PCR test! Using a survival rate of the Covid19 virus of 99.97% the death by vaccines comparison is infinitely higher -try ~1 million times more likely to die by the Covid19 shot than the “actual” virus!! 😳😳😳😳😳😳😳😳😳😳😳 https://t.co/oocr6CtzQZ,0.2333333333333333,0.5533333333333333,en,3.0,3.0,siborg76,558,1684,,,[GebauerKen robinmonotti2 RiseOfTheProles],"England, United Kingdom",btwcovid death super inflated rigged pcr test using survival rate covid virus % death vaccine comparison infinitely higher -try ~ million time likely die covid shot actual virus
23,Fri Jun 18 17:57:31 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Dr Moeti is head of WHO in Africa and one of the best public health experts and leaders I know. Hers is a desperate request for vaccines to Africa. We plead with Germany and the UK to lift patent restrictions and urgently transfer technology to enable production in Africa. https://t.co/sOgIroihOc,0.1333333333333333,0.4555555555555555,en,203.0,96.0,DrRobinFawcett,85,110,,,[globalhlthtwit],London,dr moeti head africa one best public health expert leader know desperate request vaccine africa plead germany uk lift patent restriction urgently transfer technology enable production africa
24,Fri Jun 18 17:57:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Thats great. But there are now *zero* appointments available within a 6 hour driving radius of Winnipeg for anyone who can only get Pfizer for shot 2. 

Save Pfizer for our kids. They dont have a choice between vaccines.

@KindrachukJason @SouradetS #mbpoli",0.4000000000000001,0.7166666666666667,en,29.0,5.0,signpostpoetry,850,1827,,,[JillianHortonMD],Treaty One,thats great zero appointment available within hour driving radius winnipeg anyone get pfizer shot save pfizer kid dont choice vaccine #mbpoli
25,Fri Jun 18 17:57:40 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,0.0,0.0,en,,,sharon_inouye,6100,1556,False,COVID19,[],United States,nan
26,Fri Jun 18 17:57:42 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",BioCubaFarma says phase 3 clinical trial results for #Cuban #COVID19 #vaccines are due out in a few days. Soberana02 (with and without booster) and Abdala were tested in 85K+ volunteers in Havana and eastern Cuba. @BioCubaFarma @FinlayInstituto @cda_dc @WOLA_org @aperezriverol https://t.co/GkrwLdJX1M,-0.1625,0.2375,en,54.0,29.0,laureiropedro1,45,258,,CubanCOVID19vaccines,[MediccGail],,biocubafarma say phase clinical trial result #cuban #covid #vaccines due day soberana without booster abdala tested k volunteer havana eastern cuba
27,Fri Jun 18 17:57:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Africa is in the midst of a full blown third wave. The sobering trajectory of surging cases should rouse everyone into urgent action. 

We’ve seen in India and elsewhere just how quickly #COVID19 can rebound and overwhelm health systems.",0.1958333333333333,0.2875,en,68.0,78.0,yuccaldo,1309,2618,,,[MoetiTshidi],"#mRNA/@pfizer 1.shot, 23.04",africa midst full blown third wave sobering trajectory surging case rouse everyone urgent action weve seen india elsewhere quickly #covid rebound overwhelm health system
28,Fri Jun 18 17:57:48 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","🚨Africa is in the midst of a full-blown third wave of coronavirus the head of @WHOAFRO has warned

Cases have risen across the continent by more than 20% and deaths have also risen by 15% in the last week

@jriggers reports ~ 🧵
https://t.co/CRDhqPHFWM",0.1666666666666666,0.1888888888888888,en,548.0,614.0,Sportsmk,755,646,,,[TelGlobalHealth WHOAFRO],texas,africa  in midst full-blown third wave  coronavirus head warned case risen across continent % death also risen % last week report ~
29,Fri Jun 18 17:57:48 +0000 2021,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","It is really something to see new research coming out about damage to the brain heart and more from #Covid19. And then watch our government reopen everything and just let Covid and #DeltaVariant spread wildly throughout our country.

Vaccines are great but we need to do more https://t.co/o8vX9TkY0Q",0.3727272727272727,0.4674242424242424,en,6.0,4.0,RGC_BPPA,2689,5003,,Covid19,[LongCovidNYC],"Lafayette, Louisiana",really something see new research coming damage brain heart #covid watch government reopen everything let covid #deltavariant spread wildly throughout country vaccine great
30,Fri Jun 18 17:57:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","We are dying! Ugandans need the world to stand with them. We need oxygen PPEs #COVID19 vaccines and money to pay our over-stretched health workers.
World we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor",-0.2364583333333333,0.3375,en,855.0,485.0,saanchi_saxena,153,350,,COVID19,[Winnie_Byanyima],,dying ugandan world stand oxygen ppes #covid vaccine money pay over-stretched health worker world oxygen failure kill covid patient mulago via
31,Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#ERNReCONNET meeting: #SLE and #COVID19 #vaccines 

Thats the reason why ERNs were developed...

#patientsinvolvement #bestpractices for people living with #SystemicLupusErythematosus https://t.co/IJluIIioyn",0.1,0.3,en,6.0,4.0,NatxRP,70,305,,ERNReCONNETSLECOVID19vaccinespatientsinvolvement,[ern_reconnet],"Barcelona, Espanya",#ernreconnet meeting #sle #covid #vaccines  thats reason ern developed  #patientsinvolvement #bestpractices people living #systemiclupuserythematosus
32,Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Africa needs millions more doses here &amp; now to curb the third wave.

In the midst of a third wave of #COVID19 cases in #Africa Dr @MoetiTshidi calls out for much-needed COVID-19 vaccine doses during this critical time. https://t.co/KUDPXpqq22",0.125,0.325,en,62.0,48.0,yuccaldo,1309,2619,,COVID19,[WHOAFRO],"#mRNA/@pfizer 1.shot, 23.04", africa million dos amp curb third wave  midst third wave #covid case #africa dr call much-needed covid- vaccine dos critical time
33,Fri Jun 18 17:58:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","A new @EurobarometerEU survey shows 79% of Europeans intend to get vaccinated against #COVID19 this year. But people aged under 45 are more hesitant.

70% also believe the EU plays a key role in ensuring access to vaccines in their country. 🇪🇺

More info 👇 #StrongerTogether",0.2072727272727272,0.5709090909090909,en,102.0,50.0,CaleEuropaEdic,2228,2720,,COVID19,[EU_Commission EurobarometerEU],,new survey show % european intend get vaccinated #covid year people aged hesitant % also believe eu play key role ensuring access vaccine country info #strongertogether
34,Fri Jun 18 17:58:02 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","We are dying! Ugandans need the world to stand with them. We need oxygen PPEs #COVID19 vaccines and money to pay our over-stretched health workers.
World we need each other! 

Oxygen failure kills 30 Covid patients at Mulago  https://t.co/o1K0IUGf6Z via @DailyMonitor",-0.2364583333333333,0.3375,en,855.0,486.0,chloekam09,478,441,,COVID19,[Winnie_Byanyima],,dying ugandan world stand oxygen ppes #covid vaccine money pay over-stretched health worker world oxygen failure kill covid patient mulago via
35,Fri Jun 18 17:58:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.0,0.0,en,,,runciecwc,6467,2529,,COVID19,[],Nigeria,nan
36,Fri Jun 18 17:58:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","I’m pleased to welcome the #WeCanDoThis bus to Atlanta today! Remember there are 3 easy ways to find a #COVID19 vaccine near you:  
🔍 Search https://t.co/d2PDWIps8o  
📱Text your ZIP code to 438829  
📞 Call 1-800-232-0233 https://t.co/AMmcMmCtiP",0.5083333333333333,0.7833333333333333,en,687.0,222.0,Renee98929893,12,152,,WeCanDoThisCOVID19,[CDCDirector],,pleased welcome #wecandothis bus atlanta today remember easy way find #covid vaccine near search text zip code call ---
37,Fri Jun 18 17:58:15 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","The US government is lying to us by pretending #Covid19 is over. It is not over. People are still dying daily. Vaccines are fantastic but they are not the only thing we need to do to save lives.

Call your elected officials! https://t.co/muzgCGzd2B",0.1333333333333333,0.6333333333333333,en,0.0,1.0,corrigan_david,2898,5001,,Covid19,[LongCovidNYC],"Los Angeles, CA",government lying pretending #covid people still dying daily vaccine fantastic thing save life call elected official
38,Fri Jun 18 17:58:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",IBP South Africa and partners wrote to the Gauteng government in October last year highlighting that residents in Emfuleni Informal settlement do not have basic services to combat COVID - 8 months later the problem continues! #COVID Inequality ~ share the story!,0.0,0.0638888888888888,en,3.0,5.0,guyinthecorner1,249,375,,,[wkrafchik],South Africa,ibp south africa partner wrote gauteng government october last year highlighting resident emfuleni informal settlement basic service combat covid - month later problem continues #covid inequality ~ share story
39,Fri Jun 18 17:58:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","[MB] 🌸 WINNIPEG 🌸 
Available mRNA vaccines!
📍 Atlantic Medical Centre (1054 McPhillips Street)
📞: 204-505-1580
Call to confirm availability/book an appointment!

https://t.co/7OYAVc9tK1

#protectmb #VHCDose2 #COVID19MB #vhcMB",0.25,0.2,en,3.0,5.0,SandyBiback,910,575,,,[VaxHuntersCan],Canada,[mb] winnipeg available mrna vaccine atlantic medical centre mcphillips street -- call confirm availabilitybook appointment #protectmb #vhcdose #covidmb #vhcmb
40,Fri Jun 18 17:58:43 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","More than 10000 new cases in South Africas latest report. Positivity rate above 20%. The third wave continues.
 (And two-thirds of new cases are in Gauteng province.)",0.212121212121212,0.4015151515151515,en,7.0,6.0,FortuneThembo,214,855,,,[geoffreyyork],"Johannesburg, South Africa",new case south africa latest report positivity rate % third wave continues two-thirds new case gauteng province
41,Fri Jun 18 17:58:53 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",At least one take away seems to me to be that universities may still find themselves facing litigation even if they dont mandate #covid19 #vaccines.,-0.3,0.4,en,10.0,2.0,JonathanKuo11,19,103,,,[doritmi],,least one take away seems university may still find facing litigation even dont mandate #covid #vaccines
42,Fri Jun 18 17:59:01 +0000 2021,"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>",,0.0,0.0,en,,,TamesideCouncil,29688,1104,False,,[],"Ashton-under-Lyne, England",nan
43,Fri Jun 18 17:59:10 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,0.0,0.0,en,,,realjacobsumner,974,1329,False,WeCanDoThisArizona,[],"Glendale, AZ",nan
44,Fri Jun 18 17:59:13 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","You can get a #COVID19 vaccine and other vaccines including flu and shingles at the same visit. You no longer need to wait 14 days between vaccines. Side effects are the same if vaccines are given alone or together. 
 
More about vaccine timing: https://t.co/BV3mN5XdLe. https://t.co/RWrRzhKdEg",0.09375,0.28125,en,107.0,63.0,HIPhealthy,9396,7492,,COVID19,[CDCgov],"Miami, Florida",get #covid vaccine vaccine including flu shingle visit longer wait day vaccine side effect vaccine given alone together vaccine timing
45,Fri Jun 18 17:59:14 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.0,0.0,en,64.0,27.0,Morteza22047559,784,601,,,[Rimmel_Mohydin],Canada,nan
46,Fri Jun 18 17:59:22 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Yet another amazingly qualified and courageous doctor Roger Hodkinson speaks out against the crazy government policy responses to COVID.  I have condensed his 45 minutes on The Hirewire to 6 Twitter size edits starting with an overview of interventions and vaccines. https://t.co/WcVq32s9WD,3.7007434154171876e-17,0.6333333333333334,en,536.0,349.0,williapa81,295,1450,,,[RealJoelSmalley],,yet another amazingly qualified courageous doctor roger hodkinson speaks crazy government policy response covid condensed minute hirewire twitter size edits starting overview intervention vaccine
47,Fri Jun 18 17:59:24 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",@AIPAC Will aipac tell the world that Israel has SOLD EXPIRED vaccines to Palestinians which could have been disastrous to Palestinians making the covid19 crisis far worse leading to more Palestinian deaths? #ThisisIsrael. https://t.co/WTPn9XMSvs,-0.125,0.725,en,8.0,10.0,LallaMina13,142,367,,,[itranslate123 AIPAC],"Earth, Milky way",aipac tell world israel sold expired vaccine palestinian disastrous palestinian making covid crisis far worse leading palestinian death #thisisisrael
48,Fri Jun 18 17:59:36 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","17 June 2021: #COVID19 in South Africa 🇿🇦

Daily test positivity rate at 22.6% today thats a positive test for every 4-5 tests processed 🚩

The increase in test positivity rate 7-day average at 18.7% confirming the rapid rise in infections 📈

#Rid1TweetsOnCovid #coronavirus https://t.co/LKarZlmwgg",0.0257575757575757,0.3151515151515151,en,160.0,63.0,marissalangeni,1070,666,,COVID19,[rid1tweets],JHB,june #covid south africa daily test positivity rate % today thats positive test every - test processed increase test positivity rate -day average % confirming rapid rise infection #ridtweetsoncovid #coronavirus
49,Fri Jun 18 17:59:39 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,0.0,0.0,en,31.0,16.0,nitin_na3,57,759,False,covid19vaccines,[wef],"Maharashtra, India",nan
50,Fri Jun 18 17:59:42 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","[MB] ☀️ WINNIPEG ☀️ 
Available mRNA vaccines!
📍 Scurfield Pharmacy (100 201 Scurfield Blvd)
📞 204-306-4459
💻 https://t.co/cDMOKVMUTW
Call to confirm availability/book appointment! 
#protectmb
https://t.co/7OYAVc9tK1 #VHCDose2 #COVID19MB #vhcMB",0.625,0.4,en,6.0,3.0,knitntherapist,984,1382,,,[VaxHuntersCan],PrinceDuckie by @vanillacherie,[mb] winnipeg available mrna vaccine scurfield pharmacy scurfield blvd -- call confirm availabilitybook appointment #protectmb #vhcdose #covidmb #vhcmb
51,Fri Jun 18 18:00:00 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,0.0,0.0,en,,,vubblePOP,3165,2112,False,,[],Everywhere,nan
52,Fri Jun 18 18:00:02 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,0.0,0.0,en,,,CACCN1,759,259,False,,[],"London, ON, Canada",nan
53,Fri Jun 18 18:00:02 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Karur District - Tomorrows (19.06.2021) Vaccination Camps

#Karur #COVID19 #TamilNadu #KarurDistrict #KarurCovid #VaccinationDrive #CovishieldVaccine #Covaxin #TNVaccineDrive #EmpoweringErode #Vaccines https://t.co/r3DM1GV9jI",0.0,0.0,en,2.0,2.0,saravanan_erode,32,476,,KarurCOVID19TamilNaduKarurDistrictKarurCovid,[EmpoweringErode],,karur district - tomorrow vaccination camp #karur #covid #tamilnadu #karurdistrict #karurcovid #vaccinationdrive #covishieldvaccine #covaxin #tnvaccinedrive #empoweringerode #vaccines
54,Fri Jun 18 18:00:02 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,0.0,0.0,en,,,SeattleMedium,880,211,False,COVID19,[SeattleFire SeaPubSchools],"Seattle, Wa",nan
55,Fri Jun 18 18:00:02 +0000 2021,"<a href=""http://www.falcon.io"" rel=""nofollow"">Falcon Social Media Management </a>",,0.0,0.0,en,,,ophth_advisor,505,161,False,,[],,nan
